date,id,name_en,name_ru,status,comment
2026-03-22,aries,Aries,Овен,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
2026-03-22,taurus,Taurus,Телец,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
2026-03-22,gemini,Gemini,Близнецы,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
2026-03-22,cancer,Cancer,Рак,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
2026-03-22,leo,Leo,Лев,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
2026-03-22,virgo,Virgo,Дева,good,"Звезды говорят, что сегодня благоприятный день для деплоя в прод"
2026-03-22,libra,Libra,Весы,good,"Звезды говорят, что сегодня благоприятный день для деплоя в прод"
2026-03-22,scorpio,Scorpio,Скорпион,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
2026-03-22,sagittarius,Sagittarius,Стрелец,good,"Звезды говорят, что сегодня благоприятный день для деплоя в прод"
2026-03-22,capricorn,Capricorn,Козерог,good,"Звезды говорят, что сегодня благоприятный день для деплоя в прод"
2026-03-22,aquarius,Aquarius,Водолей,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
2026-03-22,pisces,Pisces,Рыбы,good,"Звезды говорят, что сегодня благоприятный день для деплоя в прод"
